SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
12025,1610612752,NYK,New York Knicks,0012500008,2025-10-02,PHI @ NYK,W,238,99,35,91,0.385,8,39,0.205,21,32,0.656,20,38,58,19,13,2,17,26,15.0
12025,1610612755,PHI,Philadelphia 76ers,0012500008,2025-10-02,PHI @ NYK,L,241,84,27,78,0.346,3,35,0.086,27,32,0.844,10,36,46,17,8,5,20,24,-15.0
12025,1610612747,LAL,Los Angeles Lakers,0012500001,2025-10-03,LAL vs. PHX,L,240,81,23,74,0.311,6,35,0.171,29,37,0.784,11,35,46,10,9,7,22,25,-22.0
12025,1610612740,NOP,New Orleans Pelicans,0012500009,2025-10-03,NOP vs. MEL,W,240,107,40,90,0.444,8,33,0.242,19,24,0.792,13,33,46,20,11,8,16,22,10.0
12025,1610612756,PHX,Phoenix Suns,0012500001,2025-10-03,PHX @ LAL,W,241,103,38,90,0.422,13,41,0.317,14,26,0.538,10,40,50,29,9,5,16,31,22.0
12025,1610612751,BKN,Brooklyn Nets,0012500026,2025-10-04,BKN vs. HAP,W,240,123,49,87,0.563,17,38,0.447,8,16,0.5,15,37,52,31,7,4,15,28,35.0
12025,1610612743,DEN,Denver Nuggets,0012500028,2025-10-04,DEN vs. MIN,L,240,116,41,75,0.547,11,28,0.393,23,28,0.821,7,30,37,27,9,4,15,22,-10.0
12025,1610612748,MIA,Miami Heat,0012500027,2025-10-04,MIA vs. ORL,L,240,118,38,85,0.447,14,29,0.483,28,38,0.737,12,28,40,27,10,5,18,27,-8.0
12025,1610612750,MIN,Minnesota Timberwolves,0012500028,2025-10-04,MIN @ DEN,W,239,126,45,88,0.511,15,30,0.5,21,26,0.808,13,28,41,32,7,3,11,24,10.0
12025,1610612740,NOP,New Orleans Pelicans,0012500011,2025-10-04,NOP vs. SEM,W,242,127,46,81,0.568,12,33,0.364,23,33,0.697,12,38,50,33,9,8,16,21,35.0
12025,1610612752,NYK,New York Knicks,0012500010,2025-10-04,NYK @ PHI,W,242,113,38,86,0.442,12,36,0.333,25,33,0.758,11,32,43,21,10,4,14,24,9.0
12025,1610612753,ORL,Orlando Magic,0012500027,2025-10-04,ORL @ MIA,W,238,126,45,98,0.459,13,39,0.333,23,31,0.742,22,36,58,21,10,9,18,29,8.0
12025,1610612755,PHI,Philadelphia 76ers,0012500010,2025-10-04,NYK @ PHI,L,239,104,35,79,0.443,12,33,0.364,22,31,0.71,9,32,41,22,11,6,19,24,-9.0
12025,1610612766,CHA,Charlotte Hornets,0012500029,2025-10-05,CHA vs. OKC,L,240,114,37,94,0.394,15,51,0.294,25,30,0.833,14,33,47,23,8,4,17,14,-21.0
12025,1610612744,GSW,Golden State Warriors,0012500030,2025-10-05,GSW vs. LAL,W,241,111,39,84,0.464,17,43,0.395,16,21,0.762,8,36,44,35,11,7,18,24,8.0
12025,1610612747,LAL,Los Angeles Lakers,0012500030,2025-10-05,LAL @ GSW,L,241,103,35,84,0.417,12,34,0.353,21,27,0.778,12,31,43,25,7,5,18,20,-8.0
12025,1610612760,OKC,Oklahoma City Thunder,0012500029,2025-10-05,OKC @ CHA,W,240,135,50,94,0.532,20,49,0.408,15,19,0.789,8,36,44,33,11,2,14,24,21.0
12025,1610612737,ATL,Atlanta Hawks,0012500014,2025-10-06,ATL @ HOU,L,240,113,40,91,0.44,15,49,0.306,18,27,0.667,10,24,34,32,14,5,13,26,-9.0
12025,1610612742,DAL,Dallas Mavericks,0012500033,2025-10-06,DAL vs. OKC,W,240,106,34,81,0.42,11,35,0.314,27,30,0.9,11,47,58,26,5,12,21,20,17.0
12025,1610612743,DEN,Denver Nuggets,0012500034,2025-10-06,DEN @ TOR,W,241,112,38,67,0.567,11,29,0.379,25,35,0.714,8,40,48,22,8,6,31,22,4.0
12025,1610612765,DET,Detroit Pistons,0012500031,2025-10-06,DET @ MEM,W,240,128,48,90,0.533,14,39,0.359,18,29,0.621,16,39,55,29,13,7,22,27,16.0
12025,1610612745,HOU,Houston Rockets,0012500014,2025-10-06,HOU vs. ATL,W,239,122,39,81,0.481,14,34,0.412,30,35,0.857,12,41,53,24,6,6,19,17,9.0
12025,1610612763,MEM,Memphis Grizzlies,0012500031,2025-10-06,MEM vs. DET,L,239,112,36,88,0.409,20,49,0.408,20,29,0.69,13,25,38,21,13,7,18,27,-16.0
12025,1610612748,MIA,Miami Heat,0012500002,2025-10-06,MIA vs. MIL,L,240,93,33,85,0.388,8,28,0.286,19,28,0.679,10,50,60,25,8,4,23,19,-10.0
12025,1610612749,MIL,Milwaukee Bucks,0012500002,2025-10-06,MIL @ MIA,W,240,103,36,87,0.414,13,41,0.317,18,26,0.692,3,40,43,24,15,5,15,23,10.0
12025,1610612760,OKC,Oklahoma City Thunder,0012500033,2025-10-06,OKC @ DAL,L,240,89,30,97,0.309,14,51,0.275,15,20,0.75,14,29,43,18,14,5,14,25,-17.0
12025,1610612759,SAS,San Antonio Spurs,0012500032,2025-10-06,SAS vs. GUA,W,238,119,43,80,0.538,15,38,0.395,18,24,0.75,15,37,52,31,14,8,23,24,31.0
