commence_time,home_team,away_team,bookmakers_key,bookmakers_markets_key,bookmakers_markets_last_update,name,price
2025-11-08 16:10:00-08:00,WAS,DAL,ballybet,h2h,2025-11-08 14:27:49-08:00,DAL,-220
2025-11-08 16:10:00-08:00,WAS,DAL,ballybet,h2h,2025-11-08 14:27:49-08:00,WAS,180
2025-11-08 16:10:00-08:00,WAS,DAL,betanysports,h2h,2025-11-08 14:27:37-08:00,DAL,-210
2025-11-08 16:10:00-08:00,WAS,DAL,betanysports,h2h,2025-11-08 14:27:37-08:00,WAS,175
2025-11-08 16:10:00-08:00,WAS,DAL,betmgm,h2h,2025-11-08 14:27:48-08:00,DAL,-210
2025-11-08 16:10:00-08:00,WAS,DAL,betmgm,h2h,2025-11-08 14:27:48-08:00,WAS,170
2025-11-08 16:10:00-08:00,WAS,DAL,betonlineag,h2h,2025-11-08 14:27:29-08:00,DAL,-210
2025-11-08 16:10:00-08:00,WAS,DAL,betonlineag,h2h,2025-11-08 14:27:29-08:00,WAS,180
2025-11-08 16:10:00-08:00,WAS,DAL,betparx,h2h,2025-11-08 14:28:13-08:00,DAL,-225
2025-11-08 16:10:00-08:00,WAS,DAL,betparx,h2h,2025-11-08 14:28:13-08:00,WAS,180
2025-11-08 16:10:00-08:00,WAS,DAL,betrivers,h2h,2025-11-08 14:28:14-08:00,DAL,-225
2025-11-08 16:10:00-08:00,WAS,DAL,betrivers,h2h,2025-11-08 14:28:14-08:00,WAS,180
2025-11-08 16:10:00-08:00,WAS,DAL,betus,h2h,2025-11-08 14:28:15-08:00,DAL,-200
2025-11-08 16:10:00-08:00,WAS,DAL,betus,h2h,2025-11-08 14:28:15-08:00,WAS,170
2025-11-08 16:10:00-08:00,WAS,DAL,bovada,h2h,2025-11-08 14:27:51-08:00,DAL,-210
2025-11-08 16:10:00-08:00,WAS,DAL,bovada,h2h,2025-11-08 14:27:51-08:00,WAS,175
2025-11-08 16:10:00-08:00,WAS,DAL,draftkings,h2h,2025-11-08 14:28:13-08:00,DAL,-218
2025-11-08 16:10:00-08:00,WAS,DAL,draftkings,h2h,2025-11-08 14:28:13-08:00,WAS,180
2025-11-08 16:10:00-08:00,WAS,DAL,espnbet,h2h,2025-11-08 14:27:49-08:00,DAL,-200
2025-11-08 16:10:00-08:00,WAS,DAL,espnbet,h2h,2025-11-08 14:27:49-08:00,WAS,170
