commence_time,home_team,away_team,bookmakers_key,bookmakers_markets_key,bookmakers_markets_last_update,name,price,point
2025-12-16 17:40:00-08:00,NYK,SAS,betmgm,spreads,2025-12-16 12:52:36-08:00,NYK,-115,-2.5
2025-12-16 17:40:00-08:00,NYK,SAS,betmgm,spreads,2025-12-16 12:52:36-08:00,SAS,-105,2.5
2025-12-16 17:40:00-08:00,NYK,SAS,betonlineag,spreads,2025-12-16 12:51:29-08:00,NYK,-107,-3.0
2025-12-16 17:40:00-08:00,NYK,SAS,betonlineag,spreads,2025-12-16 12:51:29-08:00,SAS,-113,3.0
2025-12-16 17:40:00-08:00,NYK,SAS,betrivers,spreads,2025-12-16 12:52:37-08:00,NYK,-113,-2.5
2025-12-16 17:40:00-08:00,NYK,SAS,betrivers,spreads,2025-12-16 12:52:37-08:00,SAS,-113,2.5
2025-12-16 17:40:00-08:00,NYK,SAS,betus,spreads,2025-12-16 12:52:37-08:00,NYK,-115,-2.5
2025-12-16 17:40:00-08:00,NYK,SAS,betus,spreads,2025-12-16 12:52:37-08:00,SAS,-105,2.5
2025-12-16 17:40:00-08:00,NYK,SAS,bovada,spreads,2025-12-16 12:52:39-08:00,NYK,100,-3.0
2025-12-16 17:40:00-08:00,NYK,SAS,bovada,spreads,2025-12-16 12:52:39-08:00,SAS,-120,3.0
2025-12-16 17:40:00-08:00,NYK,SAS,draftkings,spreads,2025-12-16 12:52:37-08:00,NYK,-115,-2.5
2025-12-16 17:40:00-08:00,NYK,SAS,draftkings,spreads,2025-12-16 12:52:37-08:00,SAS,-105,2.5
2025-12-16 17:40:00-08:00,NYK,SAS,fanduel,spreads,2025-12-16 12:52:21-08:00,NYK,-114,-2.5
2025-12-16 17:40:00-08:00,NYK,SAS,fanduel,spreads,2025-12-16 12:52:21-08:00,SAS,-106,2.5
2025-12-16 17:40:00-08:00,NYK,SAS,lowvig,spreads,2025-12-16 12:52:37-08:00,NYK,-103,-3.0
2025-12-16 17:40:00-08:00,NYK,SAS,lowvig,spreads,2025-12-16 12:52:37-08:00,SAS,-109,3.0
