GAME_ID,GAME_DATE,HOME_TEAM,TEAM_ABB_HOME,AWAY_TEAM,TEAM_ABB_AWAY
0022500532,2026-01-09T00:00:00Z,Boston Celtics,BOS,Toronto Raptors,TOR
0022500533,2026-01-09T00:00:00Z,Orlando Magic,ORL,Philadelphia 76ers,PHI
0022500534,2026-01-09T00:00:00Z,Washington Wizards,WAS,New Orleans Pelicans,NOP
0022500535,2026-01-09T00:00:00Z,Brooklyn Nets,BKN,LA Clippers,LAC
0022500536,2026-01-09T00:00:00Z,Memphis Grizzlies,MEM,Oklahoma City Thunder,OKC
0022500537,2026-01-09T00:00:00Z,Denver Nuggets,DEN,Atlanta Hawks,ATL
0022500538,2026-01-09T00:00:00Z,Phoenix Suns,PHX,New York Knicks,NYK
0022500539,2026-01-09T00:00:00Z,Golden State Warriors,GSW,Sacramento Kings,SAC
0022500540,2026-01-09T00:00:00Z,Portland Trail Blazers,POR,Houston Rockets,HOU
0022500541,2026-01-09T00:00:00Z,Los Angeles Lakers,LAL,Milwaukee Bucks,MIL
