SEASON_ID,GAME_ID,GAME_DATE,TEAM_ABBREVIATION,MATCHUP,HOME_AWAY,WL,PTS,PTS_AGAINST
2017-2018,2017020001,2017-10-04,TOR,TOR @ WPG,AWAY,W,7,2
2017-2018,2017020001,2017-10-04,WPG,WPG vs. TOR,HOME,L,2,7
2017-2018,2017020005,2017-10-05,BOS,BOS vs. NSH,HOME,W,4,3
2017-2018,2017020006,2017-10-05,BUF,BUF vs. MTL,HOME,L,2,3
2017-2018,2017020003,2017-10-05,CGY,CGY @ EDM,AWAY,L,0,3
2017-2018,2017020007,2017-10-05,COL,COL @ NYR,AWAY,W,4,2
2017-2018,2017020009,2017-10-05,DET,DET vs. MIN,HOME,W,4,2
2017-2018,2017020003,2017-10-05,EDM,EDM vs. CGY,HOME,W,3,0
2017-2018,2017020009,2017-10-05,MIN,MIN @ DET,AWAY,L,2,4
2017-2018,2017020006,2017-10-05,MTL,MTL @ BUF,AWAY,W,3,2
2017-2018,2017020005,2017-10-05,NSH,NSH @ BOS,AWAY,L,3,4
2017-2018,2017020007,2017-10-05,NYR,NYR vs. COL,HOME,L,2,4
2017-2018,2017020008,2017-10-05,OTT,OTT vs. WSH,HOME,L,4,5
2017-2018,2017020004,2017-10-05,PHI,PHI @ SJS,AWAY,W,5,3
2017-2018,2017020002,2017-10-05,PIT,PIT vs. STL,HOME,L,4,5
2017-2018,2017020004,2017-10-05,SJS,SJS vs. PHI,HOME,L,3,5
2017-2018,2017020002,2017-10-05,STL,STL @ PIT,AWAY,W,5,4
2017-2018,2017020008,2017-10-05,WSH,WSH @ OTT,AWAY,W,5,4
2017-2018,2017020011,2017-10-06,ANA,ANA vs. ARI,HOME,W,5,4
2017-2018,2017020011,2017-10-06,ARI,ARI @ ANA,AWAY,L,4,5
2017-2018,2017020013,2017-10-06,CBJ,CBJ vs. NYI,HOME,W,5,0
2017-2018,2017020010,2017-10-06,CHI,CHI vs. PIT,HOME,W,10,1
2017-2018,2017020014,2017-10-06,FLA,FLA @ TBL,AWAY,L,3,5
2017-2018,2017020012,2017-10-06,LAK,LAK vs. PHI,HOME,W,2,0
2017-2018,2017020013,2017-10-06,NYI,NYI @ CBJ,AWAY,L,0,5
2017-2018,2017020012,2017-10-06,PHI,PHI @ LAK,AWAY,L,0,2
2017-2018,2017020010,2017-10-06,PIT,PIT @ CHI,AWAY,L,1,10
2017-2018,2017020014,2017-10-06,TBL,TBL vs. FLA,HOME,W,5,3
2017-2018,2017020020,2017-10-07,BUF,BUF @ NYI,AWAY,L,3,6
2017-2018,2017020023,2017-10-07,CAR,CAR vs. MIN,HOME,W,5,4
2017-2018,2017020019,2017-10-07,COL,COL @ NJD,AWAY,L,1,4
2017-2018,2017020015,2017-10-07,DAL,DAL vs. VGK,HOME,L,1,2
2017-2018,2017020017,2017-10-07,DET,DET @ OTT,AWAY,W,2,1
2017-2018,2017020018,2017-10-07,FLA,FLA vs. TBL,HOME,W,5,4
2017-2018,2017020023,2017-10-07,MIN,MIN @ CAR,AWAY,L,4,5
2017-2018,2017020022,2017-10-07,MTL,MTL @ WSH,AWAY,L,1,6
2017-2018,2017020019,2017-10-07,NJD,NJD vs. COL,HOME,W,4,1
2017-2018,2017020021,2017-10-07,NSH,NSH @ PIT,AWAY,L,0,4
2017-2018,2017020020,2017-10-07,NYI,NYI vs. BUF,HOME,W,6,3
2017-2018,2017020016,2017-10-07,NYR,NYR @ TOR,AWAY,L,5,8
2017-2018,2017020017,2017-10-07,OTT,OTT vs. DET,HOME,L,1,2
2017-2018,2017020021,2017-10-07,PIT,PIT vs. NSH,HOME,W,4,0
2017-2018,2017020018,2017-10-07,TBL,TBL @ FLA,AWAY,L,4,5
2017-2018,2017020016,2017-10-07,TOR,TOR vs. NYR,HOME,W,8,5
2017-2018,2017020015,2017-10-07,VGK,VGK @ DAL,AWAY,W,2,1
2017-2018,2017020022,2017-10-07,WSH,WSH vs. MTL,HOME,W,6,1
2017-2018,2017020029,2017-10-08,ANA,ANA vs. PHI,HOME,L,2,3
2017-2018,2017020026,2017-10-08,ARI,ARI vs. VGK,HOME,L,1,2
2017-2018,2017020025,2017-10-08,CBJ,CBJ @ CHI,AWAY,L,1,5
2017-2018,2017020027,2017-10-08,CGY,CGY vs. WPG,HOME,W,6,3
2017-2018,2017020025,2017-10-08,CHI,CHI vs. CBJ,HOME,W,5,1
2017-2018,2017020024,2017-10-08,DAL,DAL @ STL,AWAY,L,2,4
2017-2018,2017020028,2017-10-08,EDM,EDM @ VAN,AWAY,L,2,3
2017-2018,2017020030,2017-10-08,LAK,LAK @ SJS,AWAY,W,4,1
2017-2018,2017020031,2017-10-08,MTL,MTL @ NYR,AWAY,L,0,2
2017-2018,2017020031,2017-10-08,NYR,NYR vs. MTL,HOME,W,2,0
2017-2018,2017020029,2017-10-08,PHI,PHI @ ANA,AWAY,W,3,2
2017-2018,2017020030,2017-10-08,SJS,SJS vs. LAK,HOME,L,1,4
2017-2018,2017020024,2017-10-08,STL,STL vs. DAL,HOME,W,4,2
2017-2018,2017020028,2017-10-08,VAN,VAN vs. EDM,HOME,W,3,2
2017-2018,2017020026,2017-10-08,VGK,VGK @ ARI,AWAY,W,2,1
2017-2018,2017020027,2017-10-08,WPG,WPG @ CGY,AWAY,L,3,6
2017-2018,2017020032,2017-10-09,BOS,BOS vs. COL,HOME,L,0,4
2017-2018,2017020034,2017-10-09,BUF,BUF vs. NJD,HOME,L,2,6
2017-2018,2017020035,2017-10-09,CHI,CHI @ TOR,AWAY,L,3,4
2017-2018,2017020032,2017-10-09,COL,COL @ BOS,AWAY,W,4,0
2017-2018,2017020034,2017-10-09,NJD,NJD @ BUF,AWAY,W,6,2
2017-2018,2017020033,2017-10-09,NYI,NYI vs. STL,HOME,L,2,3
2017-2018,2017020033,2017-10-09,STL,STL @ NYI,AWAY,W,3,2
2017-2018,2017020036,2017-10-09,TBL,TBL vs. WSH,HOME,W,4,3
