player_id,player_name,team_abbreviation,status,injury_description,last_updated
8478366,F. Vatrano,ANA,OUT,2025-12-31T22:52Z,2026-01-06 14:03:56
8475852,P. Mrazek,ANA,QUESTIONABLE,2026-01-06T03:42Z,2026-01-06 14:03:56
8479661,T. Jeannot,BOS,QUESTIONABLE,2026-01-06T02:54Z,2026-01-06 14:03:56
8480887,J. Harris,BOS,OUT,2025-11-17T15:42Z,2026-01-06 14:03:56
8476854,H. Lindholm,BOS,OUT,2026-01-06T21:19Z,2026-01-06 14:03:56
0,J. Kulich,BUF,OUT,2025-11-10T17:20Z,2026-01-06 14:03:56
8479941,J. Danforth,BUF,OUT,2025-10-18T21:25Z,2026-01-06 14:03:56
8480891,M. Kesselring,BUF,OUT,2026-01-06T20:54Z,2026-01-06 14:03:56
8479982,C. Timmins,BUF,OUT,2025-12-20T18:26Z,2026-01-06 14:03:56
8479312,A. Lyon,BUF,OUT,2026-01-06T19:45Z,2026-01-06 14:03:56
8481556,J. Beecher,CGY,OUT,2026-01-06T21:06Z,2026-01-06 14:03:56
0,M. Pospisil,CGY,OUT,2025-10-20T19:25Z,2026-01-06 14:03:56
8484180,S. Honzek,CGY,OUT,2025-11-21T18:58Z,2026-01-06 14:03:56
8479402,J. Bean,CGY,OUT,2025-12-18T18:19Z,2026-01-06 14:03:56
8482445,D. Cooley,CGY,QUESTIONABLE,2026-01-06T14:44Z,2026-01-06 14:03:56
8484428,C. Legault,CAR,OUT,2025-11-11T16:22Z,2026-01-06 14:03:56
8476958,J. Slavin,CAR,OUT,2025-12-22T22:34Z,2026-01-06 14:03:56
8481611,P. Kochetkov,CAR,OUT,2025-12-29T21:58Z,2026-01-06 14:03:56
8484144,C. Bedard,CHI,OUT,2026-01-06T18:43Z,2026-01-06 14:03:56
8483493,F. Nazar,CHI,OUT,2025-12-29T13:52Z,2026-01-06 14:03:56
0,B. Seney,CHI,OUT,2025-09-27T18:58Z,2026-01-06 14:03:56
0,C. Fitzgerald,CHI,OUT,2023-01-04T19:37Z,2026-01-06 14:03:56
8481641,J. Kiviranta,COL,QUESTIONABLE,2026-01-05T14:25Z,2026-01-06 14:03:56
8476455,G. Landeskog,COL,OUT,2026-01-06T17:31Z,2026-01-06 14:03:56
