commence_time,home_team,away_team,bookmakers_key,bookmakers_markets_key,bookmakers_markets_last_update,name,price
2026-01-03 13:10:07-08:00,SJS,TBL,betmgm,h2h,2026-01-03 15:47:56-08:00,SJS,3300
2026-01-03 13:10:07-08:00,SJS,TBL,betmgm,h2h,2026-01-03 15:47:56-08:00,TBL,-10000
2026-01-03 13:10:07-08:00,SJS,TBL,bovada,h2h,2026-01-03 15:57:29-08:00,SJS,165
2026-01-03 13:10:07-08:00,SJS,TBL,bovada,h2h,2026-01-03 15:57:29-08:00,TBL,-195
2026-01-03 16:10:00-08:00,CAR,COL,betmgm,h2h,2026-01-03 15:57:05-08:00,CAR,120
2026-01-03 16:10:00-08:00,CAR,COL,betmgm,h2h,2026-01-03 15:57:05-08:00,COL,-145
2026-01-03 16:10:00-08:00,CAR,COL,betonlineag,h2h,2026-01-03 15:57:08-08:00,CAR,123
2026-01-03 16:10:00-08:00,CAR,COL,betonlineag,h2h,2026-01-03 15:57:08-08:00,COL,-140
2026-01-03 16:10:00-08:00,CAR,COL,betrivers,h2h,2026-01-03 15:55:02-08:00,CAR,120
2026-01-03 16:10:00-08:00,CAR,COL,betrivers,h2h,2026-01-03 15:55:02-08:00,COL,-150
2026-01-03 16:10:00-08:00,CAR,COL,betus,h2h,2026-01-03 15:57:05-08:00,CAR,120
2026-01-03 16:10:00-08:00,CAR,COL,betus,h2h,2026-01-03 15:57:05-08:00,COL,-140
2026-01-03 16:10:00-08:00,CAR,COL,bovada,h2h,2026-01-03 15:57:29-08:00,CAR,117
2026-01-03 16:10:00-08:00,CAR,COL,bovada,h2h,2026-01-03 15:57:29-08:00,COL,-138
2026-01-03 16:10:00-08:00,CAR,COL,draftkings,h2h,2026-01-03 15:57:18-08:00,CAR,124
2026-01-03 16:10:00-08:00,CAR,COL,draftkings,h2h,2026-01-03 15:57:18-08:00,COL,-148
2026-01-03 16:10:00-08:00,CAR,COL,fanduel,h2h,2026-01-03 15:56:53-08:00,CAR,118
2026-01-03 16:10:00-08:00,CAR,COL,fanduel,h2h,2026-01-03 15:56:53-08:00,COL,-142
2026-01-03 16:10:00-08:00,CAR,COL,lowvig,h2h,2026-01-03 15:57:29-08:00,CAR,123
2026-01-03 16:10:00-08:00,CAR,COL,lowvig,h2h,2026-01-03 15:57:29-08:00,COL,-140
2026-01-03 16:10:00-08:00,CAR,COL,mybookieag,h2h,2026-01-03 15:56:03-08:00,CAR,118
2026-01-03 16:10:00-08:00,CAR,COL,mybookieag,h2h,2026-01-03 15:56:03-08:00,COL,-145
2026-01-03 16:10:00-08:00,CGY,NSH,betmgm,h2h,2026-01-03 15:57:05-08:00,CGY,-115
2026-01-03 16:10:00-08:00,CGY,NSH,betmgm,h2h,2026-01-03 15:57:05-08:00,NSH,-105
2026-01-03 16:10:00-08:00,CGY,NSH,betonlineag,h2h,2026-01-03 15:57:08-08:00,CGY,-113
2026-01-03 16:10:00-08:00,CGY,NSH,betonlineag,h2h,2026-01-03 15:57:08-08:00,NSH,-101
2026-01-03 16:10:00-08:00,CGY,NSH,betrivers,h2h,2026-01-03 15:55:02-08:00,CGY,-117
2026-01-03 16:10:00-08:00,CGY,NSH,betrivers,h2h,2026-01-03 15:55:02-08:00,NSH,-107
2026-01-03 16:10:00-08:00,CGY,NSH,betus,h2h,2026-01-03 15:57:05-08:00,CGY,-115
2026-01-03 16:10:00-08:00,CGY,NSH,betus,h2h,2026-01-03 15:57:05-08:00,NSH,-105
2026-01-03 16:10:00-08:00,CGY,NSH,bovada,h2h,2026-01-03 15:57:29-08:00,CGY,-130
2026-01-03 16:10:00-08:00,CGY,NSH,bovada,h2h,2026-01-03 15:57:29-08:00,NSH,110
2026-01-03 16:10:00-08:00,CGY,NSH,draftkings,h2h,2026-01-03 15:57:18-08:00,CGY,-115
2026-01-03 16:10:00-08:00,CGY,NSH,draftkings,h2h,2026-01-03 15:57:18-08:00,NSH,-105
2026-01-03 16:10:00-08:00,CGY,NSH,fanduel,h2h,2026-01-03 15:56:53-08:00,CGY,-115
2026-01-03 16:10:00-08:00,CGY,NSH,fanduel,h2h,2026-01-03 15:56:53-08:00,NSH,-104
2026-01-03 16:10:00-08:00,CGY,NSH,lowvig,h2h,2026-01-03 15:57:29-08:00,CGY,-113
2026-01-03 16:10:00-08:00,CGY,NSH,lowvig,h2h,2026-01-03 15:57:29-08:00,NSH,-101
2026-01-03 16:10:00-08:00,CGY,NSH,mybookieag,h2h,2026-01-03 15:56:03-08:00,CGY,-111
2026-01-03 16:10:00-08:00,CGY,NSH,mybookieag,h2h,2026-01-03 15:56:03-08:00,NSH,-110
2026-01-03 16:10:00-08:00,NYI,TOR,betmgm,h2h,2026-01-03 15:57:05-08:00,NYI,-105
2026-01-03 16:10:00-08:00,NYI,TOR,betmgm,h2h,2026-01-03 15:57:05-08:00,TOR,-115
2026-01-03 16:10:00-08:00,NYI,TOR,betonlineag,h2h,2026-01-03 15:57:08-08:00,NYI,100
2026-01-03 16:10:00-08:00,NYI,TOR,betonlineag,h2h,2026-01-03 15:57:08-08:00,TOR,-114
2026-01-03 16:10:00-08:00,NYI,TOR,betrivers,h2h,2026-01-03 15:55:02-08:00,NYI,-112
2026-01-03 16:10:00-08:00,NYI,TOR,betrivers,h2h,2026-01-03 15:55:02-08:00,TOR,-112
2026-01-03 16:10:00-08:00,NYI,TOR,betus,h2h,2026-01-03 15:57:05-08:00,NYI,-110
2026-01-03 16:10:00-08:00,NYI,TOR,betus,h2h,2026-01-03 15:57:05-08:00,TOR,-110
2026-01-03 16:10:00-08:00,NYI,TOR,bovada,h2h,2026-01-03 15:57:29-08:00,NYI,-112
2026-01-03 16:10:00-08:00,NYI,TOR,bovada,h2h,2026-01-03 15:57:29-08:00,TOR,-108
2026-01-03 16:10:00-08:00,NYI,TOR,draftkings,h2h,2026-01-03 15:57:18-08:00,NYI,-110
2026-01-03 16:10:00-08:00,NYI,TOR,draftkings,h2h,2026-01-03 15:57:18-08:00,TOR,-110
