commence_time,home_team,away_team,bookmakers_key,bookmakers_markets_key,bookmakers_markets_last_update,name,price,point
2026-01-15 16:10:00-08:00,BUF,Montréal Canadiens,betmgm,spreads,2026-01-15 14:29:38-08:00,BUF,-220,1.5
2026-01-15 16:10:00-08:00,BUF,Montréal Canadiens,betmgm,spreads,2026-01-15 14:29:38-08:00,Montréal Canadiens,180,-1.5
2026-01-15 16:10:00-08:00,BUF,Montréal Canadiens,betonlineag,spreads,2026-01-15 14:28:56-08:00,BUF,-230,1.5
2026-01-15 16:10:00-08:00,BUF,Montréal Canadiens,betonlineag,spreads,2026-01-15 14:28:56-08:00,Montréal Canadiens,192,-1.5
2026-01-15 16:10:00-08:00,BUF,Montréal Canadiens,betrivers,spreads,2026-01-15 14:29:51-08:00,BUF,-240,1.5
2026-01-15 16:10:00-08:00,BUF,Montréal Canadiens,betrivers,spreads,2026-01-15 14:29:51-08:00,Montréal Canadiens,188,-1.5
2026-01-15 16:10:00-08:00,BUF,Montréal Canadiens,betus,spreads,2026-01-15 14:29:22-08:00,BUF,-230,1.5
2026-01-15 16:10:00-08:00,BUF,Montréal Canadiens,betus,spreads,2026-01-15 14:29:22-08:00,Montréal Canadiens,196,-1.5
2026-01-15 16:10:00-08:00,BUF,Montréal Canadiens,bovada,spreads,2026-01-15 14:27:15-08:00,BUF,-235,1.5
2026-01-15 16:10:00-08:00,BUF,Montréal Canadiens,bovada,spreads,2026-01-15 14:27:15-08:00,Montréal Canadiens,195,-1.5
2026-01-15 16:10:00-08:00,BUF,Montréal Canadiens,draftkings,spreads,2026-01-15 14:29:20-08:00,BUF,-245,1.5
2026-01-15 16:10:00-08:00,BUF,Montréal Canadiens,draftkings,spreads,2026-01-15 14:29:20-08:00,Montréal Canadiens,200,-1.5
2026-01-15 16:10:00-08:00,BUF,Montréal Canadiens,fanduel,spreads,2026-01-15 14:30:07-08:00,BUF,-215,1.5
2026-01-15 16:10:00-08:00,BUF,Montréal Canadiens,fanduel,spreads,2026-01-15 14:30:07-08:00,Montréal Canadiens,172,-1.5
2026-01-15 16:10:00-08:00,BUF,Montréal Canadiens,lowvig,spreads,2026-01-15 14:29:20-08:00,BUF,-230,1.5
2026-01-15 16:10:00-08:00,BUF,Montréal Canadiens,lowvig,spreads,2026-01-15 14:29:20-08:00,Montréal Canadiens,192,-1.5
2026-01-15 16:10:00-08:00,BUF,Montréal Canadiens,mybookieag,spreads,2026-01-15 14:29:46-08:00,BUF,-250,1.5
2026-01-15 16:10:00-08:00,BUF,Montréal Canadiens,mybookieag,spreads,2026-01-15 14:29:46-08:00,Montréal Canadiens,199,-1.5
2026-01-15 16:10:00-08:00,CBJ,VAN,betmgm,spreads,2026-01-15 14:29:38-08:00,CBJ,145,-1.5
2026-01-15 16:10:00-08:00,CBJ,VAN,betmgm,spreads,2026-01-15 14:29:38-08:00,VAN,-175,1.5
2026-01-15 16:10:00-08:00,CBJ,VAN,betonlineag,spreads,2026-01-15 14:28:56-08:00,CBJ,145,-1.5
2026-01-15 16:10:00-08:00,CBJ,VAN,betonlineag,spreads,2026-01-15 14:28:56-08:00,VAN,-165,1.5
2026-01-15 16:10:00-08:00,CBJ,VAN,betrivers,spreads,2026-01-15 14:29:51-08:00,CBJ,143,-1.5
2026-01-15 16:10:00-08:00,CBJ,VAN,betrivers,spreads,2026-01-15 14:29:51-08:00,VAN,-180,1.5
2026-01-15 16:10:00-08:00,CBJ,VAN,betus,spreads,2026-01-15 14:29:22-08:00,CBJ,144,-1.5
2026-01-15 16:10:00-08:00,CBJ,VAN,betus,spreads,2026-01-15 14:29:22-08:00,VAN,-165,1.5
2026-01-15 16:10:00-08:00,CBJ,VAN,bovada,spreads,2026-01-15 14:27:15-08:00,CBJ,147,-1.5
2026-01-15 16:10:00-08:00,CBJ,VAN,bovada,spreads,2026-01-15 14:27:15-08:00,VAN,-172,1.5
2026-01-15 16:10:00-08:00,CBJ,VAN,draftkings,spreads,2026-01-15 14:29:20-08:00,CBJ,145,-1.5
2026-01-15 16:10:00-08:00,CBJ,VAN,draftkings,spreads,2026-01-15 14:29:20-08:00,VAN,-175,1.5
2026-01-15 16:10:00-08:00,CBJ,VAN,fanduel,spreads,2026-01-15 14:30:07-08:00,CBJ,140,-1.5
2026-01-15 16:10:00-08:00,CBJ,VAN,fanduel,spreads,2026-01-15 14:30:07-08:00,VAN,-172,1.5
2026-01-15 16:10:00-08:00,CBJ,VAN,lowvig,spreads,2026-01-15 14:29:20-08:00,CBJ,145,-1.5
2026-01-15 16:10:00-08:00,CBJ,VAN,lowvig,spreads,2026-01-15 14:29:20-08:00,VAN,-165,1.5
2026-01-15 16:10:00-08:00,CBJ,VAN,mybookieag,spreads,2026-01-15 14:29:46-08:00,CBJ,142,-1.5
2026-01-15 16:10:00-08:00,CBJ,VAN,mybookieag,spreads,2026-01-15 14:29:46-08:00,VAN,-175,1.5
2026-01-15 16:10:00-08:00,PIT,PHI,betmgm,spreads,2026-01-15 14:29:38-08:00,PHI,-175,1.5
2026-01-15 16:10:00-08:00,PIT,PHI,betmgm,spreads,2026-01-15 14:29:38-08:00,PIT,145,-1.5
2026-01-15 16:10:00-08:00,PIT,PHI,betonlineag,spreads,2026-01-15 14:28:56-08:00,PHI,-170,1.5
2026-01-15 16:10:00-08:00,PIT,PHI,betonlineag,spreads,2026-01-15 14:28:56-08:00,PIT,149,-1.5
2026-01-15 16:10:00-08:00,PIT,PHI,betrivers,spreads,2026-01-15 14:29:51-08:00,PHI,-182,1.5
2026-01-15 16:10:00-08:00,PIT,PHI,betrivers,spreads,2026-01-15 14:29:51-08:00,PIT,145,-1.5
2026-01-15 16:10:00-08:00,PIT,PHI,betus,spreads,2026-01-15 14:29:22-08:00,PHI,-165,1.5
2026-01-15 16:10:00-08:00,PIT,PHI,betus,spreads,2026-01-15 14:29:22-08:00,PIT,144,-1.5
