commence_time,home_team,away_team,bookmakers_key,bookmakers_markets_key,bookmakers_markets_last_update,name,price,point
2025-12-29 16:10:00-08:00,CAR,NYR,betmgm,totals,2025-12-28 19:50:25-08:00,Over,-120,5.5
2025-12-29 16:10:00-08:00,CAR,NYR,betmgm,totals,2025-12-28 19:50:25-08:00,Under,100,5.5
2025-12-29 16:10:00-08:00,CAR,NYR,betonlineag,totals,2025-12-28 19:51:02-08:00,Over,-120,5.5
2025-12-29 16:10:00-08:00,CAR,NYR,betonlineag,totals,2025-12-28 19:51:02-08:00,Under,104,5.5
2025-12-29 16:10:00-08:00,CAR,NYR,betrivers,totals,2025-12-28 19:51:03-08:00,Over,-125,5.5
2025-12-29 16:10:00-08:00,CAR,NYR,betrivers,totals,2025-12-28 19:51:03-08:00,Under,102,5.5
2025-12-29 16:10:00-08:00,CAR,NYR,betus,totals,2025-12-28 19:50:37-08:00,Over,-120,5.5
2025-12-29 16:10:00-08:00,CAR,NYR,betus,totals,2025-12-28 19:50:37-08:00,Under,100,5.5
2025-12-29 16:10:00-08:00,CAR,NYR,bovada,totals,2025-12-28 19:50:51-08:00,Over,-122,5.5
2025-12-29 16:10:00-08:00,CAR,NYR,bovada,totals,2025-12-28 19:50:51-08:00,Under,102,5.5
2025-12-29 16:10:00-08:00,CAR,NYR,draftkings,totals,2025-12-28 19:50:37-08:00,Over,-125,5.5
2025-12-29 16:10:00-08:00,CAR,NYR,draftkings,totals,2025-12-28 19:50:37-08:00,Under,105,5.5
2025-12-29 16:10:00-08:00,CAR,NYR,fanduel,totals,2025-12-28 19:50:52-08:00,Over,-122,5.5
2025-12-29 16:10:00-08:00,CAR,NYR,fanduel,totals,2025-12-28 19:50:52-08:00,Under,100,5.5
2025-12-29 16:10:00-08:00,CAR,NYR,lowvig,totals,2025-12-28 19:50:51-08:00,Over,-120,5.5
2025-12-29 16:10:00-08:00,CAR,NYR,lowvig,totals,2025-12-28 19:50:51-08:00,Under,104,5.5
