SEASON_YEAR,GAME_ID,GAME_DATE,TEAM_ABBREVIATION,MATCHUP,WL,HOME_AWAY,PTS,PTS_AGAINST,GOALS,ASSISTS,POINTS,PIM,HITS,POWER_PLAY_GOALS,SHOTS,SHOOTING_PCT,BLOCKED_SHOTS,TAKEAWAYS,GIVEAWAYS,SAVES,SHOTS_AGAINST,GOALS_AGAINST,SAVE_PCT,EVEN_STRENGTH_GOALS_AGAINST,POWER_PLAY_GOALS_AGAINST,SHORT_HANDED_GOALS_AGAINST
2023-2024,2023020001,2023-10-10,NSH,NSH @ TBL,L,AWAY,3,5,3,6,9,10,23,1,31,0.0967741935483871,10,10,7,29,33,4,0.8787878787878788,2,2,0
2023-2024,2023020001,2023-10-10,TBL,TBL vs. NSH,W,HOME,5,3,5,7,12,8,22,2,34,0.14705882352941177,17,8,8,28,31,3,0.9032258064516129,2,1,0
2023-2024,2023020006,2023-10-11,BOS,BOS vs. CHI,W,HOME,3,1,3,5,8,13,25,0,33,0.09090909090909091,9,4,6,20,21,1,0.9523809523809523,1,0,0
2023-2024,2023020004,2023-10-11,CAR,CAR vs. OTT,W,HOME,5,3,5,9,14,10,25,1,42,0.11904761904761904,9,5,13,27,30,3,0.9,2,0,0
2023-2024,2023020006,2023-10-11,CHI,CHI @ BOS,L,AWAY,1,3,1,2,3,23,24,0,21,0.047619047619047616,24,3,6,30,32,2,0.9375,2,0,0
2023-2024,2023020002,2023-10-11,CHI,CHI @ PIT,W,AWAY,4,2,4,8,12,2,13,0,36,0.1111111111111111,16,12,2,39,41,2,0.9512195121951219,2,0,0
2023-2024,2023020005,2023-10-11,MTL,MTL @ TOR,L,AWAY,5,6,5,7,12,25,43,1,24,0.20833333333333334,15,8,9,37,42,5,0.8809523809523809,3,2,0
2023-2024,2023020004,2023-10-11,OTT,OTT @ CAR,L,AWAY,3,5,3,3,6,14,24,0,30,0.1,16,3,7,37,42,5,0.8809523809523809,3,1,0
2023-2024,2023020002,2023-10-11,PIT,PIT vs. CHI,L,HOME,2,4,2,4,6,8,23,0,41,0.04878048780487805,19,11,8,32,35,3,0.9142857142857143,3,0,0
2023-2024,2023020003,2023-10-11,SEA,SEA @ VGK,L,AWAY,1,4,1,1,2,8,21,0,33,0.030303030303030304,18,6,4,24,27,3,0.8888888888888888,3,0,0
