GAME_ID,GAME_DATE,HOME_TEAM,HOME_TEAM_ABBR,AWAY_TEAM,AWAY_TEAM_ABBR
2025020667,2026-01-06,Buffalo Sabres,BUF,Vancouver Canucks,VAN
2025020668,2026-01-06,Tampa Bay Lightning,TBL,Colorado Avalanche,COL
2025020670,2026-01-06,Philadelphia Flyers,PHI,Anaheim Ducks,ANA
2025020671,2026-01-06,Carolina Hurricanes,CAR,Dallas Stars,DAL
2025020669,2026-01-06,New York Islanders,NYI,New Jersey Devils,NJD
2025020672,2026-01-06,Toronto Maple Leafs,TOR,Florida Panthers,FLA
2025020673,2026-01-06,Winnipeg Jets,WPG,Vegas Golden Knights,VGK
2025020674,2026-01-06,Edmonton Oilers,EDM,Nashville Predators,NSH
2025020675,2026-01-06,San Jose Sharks,SJS,Columbus Blue Jackets,CBJ
2025020676,2026-01-06,Seattle Kraken,SEA,Boston Bruins,BOS
