game_id,date,season,home_team,away_team,home_score,away_score,total_score,goal_diff,home_won,home_rest_days,away_rest_days,rest_days_diff,is_back_to_back_home,is_back_to_back_away,home_streak,away_streak,streak_diff,home_wins_l10,away_wins_l10,home_goals_l10,away_goals_l10,goals_diff_l10,home_goals_against_l10,away_goals_against_l10,goals_against_diff_l10,home_total_goals_l10,away_total_goals_l10,home_shots_l10,away_shots_l10,home_shots_against_l10,away_shots_against_l10,home_shooting_pct_l10,away_shooting_pct_l10,home_save_pct_l10,away_save_pct_l10,home_pp_goals_l10,away_pp_goals_l10,home_pp_goals_against_l10,away_pp_goals_against_l10,home_hits_l10,away_hits_l10,home_pim_l10,away_pim_l10,home_blocked_shots_l10,away_blocked_shots_l10,home_takeaways_l10,away_takeaways_l10,home_giveaways_l10,away_giveaways_l10,home_home_wins_l10,away_away_wins_l10,home_home_games_l10,away_home_games_l10,home_goals_std_l10,away_goals_std_l10,home_goals_against_std_l10,away_goals_against_std_l10,home_goals_trend_l10,away_goals_trend_l10,home_goals_against_trend_l10,away_goals_against_trend_l10,home_top3_avg_goals,away_top3_avg_goals,home_top6_avg_goals,away_top6_avg_goals,home_top3_avg_assists,away_top3_avg_assists,home_top6_avg_assists,away_top6_avg_assists,home_top3_avg_points,away_top3_avg_points,home_top6_avg_points,away_top6_avg_points,home_top6_total_plusminus,away_top6_total_plusminus,home_goalie_save_pct,home_goalie_goals_against,home_goalie_saves,home_goalie_shots_against,away_goalie_save_pct,away_goalie_goals_against,away_goalie_saves,away_goalie_shots_against,goalie_save_pct_diff,goalie_goals_against_diff
2013020152,2013-10-25,2013-2014,FLA,BUF,1,3,4,-2,0,2.0,0.0,2.0,0,1,-1.0,-3.0,2.0,3.0,1.0,2.1,1.3,0.8,3.4,3.0,0.3999999999999999,5.5,4.3,26.1,26.3,31.7,34.5,0.07525431161130956,0.052947558666978346,0.8913448638442096,0.907325607044277,0.4,0.4,0.7,0.6,20.6,25.3,15.1,12.8,15.8,12.7,6.9,6.7,5.8,7.5,2.0,1.0,5.0,7.0,1.852925614624973,0.9486832980505139,2.065591117977289,1.1547005383792515,-0.43333333333333335,0.033333333333333215,-1.4,1.0,0.03333333333333333,0.0,0.13333333333333333,0.06060606060606061,0.3,0.12121212121212122,0.18333333333333335,0.15151515151515152,0.3333333333333333,0.12121212121212122,0.3166666666666667,0.21212121212121213,-1.7999999999999998,-2.81038961038961,0.1875,0.25,0.75,1.0,0.7290903,2.4,26.7,29.1,-0.5415903,-2.15
2013020148,2013-10-25,2013-2014,LAK,PHX,7,4,11,3,1,2.0,1.0,1.0,0,0,-1.0,2.0,-3.0,6.0,6.0,2.3,3.0,-0.7000000000000002,2.4,2.6,-0.20000000000000018,4.7,5.6,30.5,32.4,27.6,33.1,0.07660182445744831,0.09137125147956446,0.912564039408867,0.9181897186014834,0.7,0.6,0.7,0.7,30.7,29.1,11.9,11.9,12.5,13.4,3.9,7.4,7.3,6.5,2.0,3.0,4.0,4.0,1.4181364924121764,1.4142135623730951,1.505545305418162,1.5055453054181618,0.3666666666666667,0.3333333333333335,-0.3999999999999999,-0.6000000000000001,0.13333333333333333,0.28703703703703703,0.18333333333333335,0.25462962962962965,0.13333333333333333,0.37407407407407406,0.15000000000000002,0.22037037037037036,0.26666666666666666,0.6611111111111111,0.3333333333333333,0.47500000000000003,0.30000000000000004,0.16944444444444443,0.8126021,2.2,22.1,24.3,0.817321,2.4,26.2,28.6,-0.00471889999999997,-0.19999999999999973
2013020144,2013-10-25,2013-2014,NSH,WPG,3,2,5,1,1,1.0,1.0,0.0,0,0,-1.0,-2.0,1.0,5.0,4.0,1.9,2.5,-0.6000000000000001,2.1,2.8,-0.6999999999999997,4.0,5.3,29.3,32.3,29.0,30.7,0.06518213285955218,0.08370375485001522,0.9213158913432749,0.9110001341205152,0.5,0.5,0.6,0.7,15.8,26.4,12.3,12.0,14.9,13.7,8.1,6.0,6.0,10.7,3.0,1.0,5.0,8.0,1.3703203194062976,1.7795130420052185,1.1972189997378648,1.2292725943057186,-0.23333333333333317,0.16666666666666652,-1.1,0.5333333333333337,0.19523809523809524,0.10000000000000002,0.14761904761904762,0.13333333333333333,0.3428571428571429,0.3416666666666666,0.18809523809523812,0.4041666666666666,0.5380952380952381,0.44166666666666665,0.3357142857142857,0.5375,-1.042857142857143,0.07500000000000001,0.1928904,0.2,5.9,6.1,0.1,0.0,2.4,2.4,0.09289039999999998,0.2
2013020157,2013-10-26,2013-2014,MTL,SJS,0,2,2,-2,0,1.0,1.0,0.0,0,0,1.0,-1.0,2.0,6.0,8.0,3.3,4.0,-0.7000000000000002,2.0,1.7,0.30000000000000004,5.3,5.7,31.8,38.8,32.4,23.2,0.10564039505999308,0.10140056148877516,0.9369331150558267,0.9239259070187125,1.1,1.1,0.7,0.4,17.5,15.8,15.6,10.6,16.8,15.8,6.0,8.0,6.5,8.3,3.0,3.0,6.0,5.0,1.1595018087284057,2.581988897471611,1.4142135623730951,0.9486832980505138,-0.6333333333333333,-1.6666666666666665,0.3333333333333335,-0.033333333333333215,0.14444444444444446,0.37407407407407406,0.17222222222222225,0.2537037037037037,0.3111111111111111,0.4666666666666666,0.3055555555555555,0.45,0.45555555555555555,0.8407407407407407,0.4777777777777778,0.7037037037037037,1.511111111111111,2.533333333333333,0.0964286,0.1,2.7,2.8,0.0,0.0,0.0,0.0,0.0964286,0.1
2013020164,2013-10-26,2013-2014,PHX,EDM,5,4,9,1,1,0.0,0.0,0.0,1,1,-1.0,-1.0,0.0,5.0,3.0,3.0,2.6,0.3999999999999999,3.1,3.6,-0.5,6.1,6.2,32.0,27.4,34.4,30.2,0.09315696576527872,0.09587657603726178,0.9061401690519336,0.8720050295311923,0.6,0.3,0.7,0.9,30.7,26.9,9.9,11.8,12.6,16.7,6.8,6.6,7.2,9.2,2.0,2.0,3.0,3.0,1.4142135623730951,1.3498971154211057,1.728840330651992,1.3498971154211057,1.0,0.06666666666666643,0.2333333333333334,-0.9333333333333336,0.29225589225589227,0.24242424242424243,0.3006734006734007,0.13636363636363638,0.3730639730639731,0.12121212121212122,0.3077441077441078,0.07575757575757576,0.6653198653198653,0.3636363636363636,0.6084175084175084,0.21212121212121213,-0.09797979797979806,0.6363636363636362,0.8096857272727273,2.5454545454545454,24.818181818181817,27.363636363636363,0.3211688181818182,1.0,6.7272727272727275,7.7272727272727275,0.48851690909090906,1.5454545454545454
2013020156,2013-10-26,2013-2014,TOR,PIT,4,1,5,3,1,0.0,0.0,0.0,1,1,-1.0,-2.0,1.0,6.0,7.0,3.1,3.3,-0.19999999999999973,2.5,2.4,0.10000000000000009,5.6,5.7,25.5,32.5,34.3,25.5,0.1302118171683389,0.10615087615087611,0.9260482395968388,0.9032074461486227,1.0,0.7,0.6,0.6,31.0,26.7,10.9,8.5,14.6,17.3,9.0,5.1,14.3,5.5,4.0,2.0,6.0,7.0,1.5951314818673865,1.4181364924121764,1.5811388300841898,1.837873166945363,-0.7666666666666666,-1.2999999999999998,0.5,0.2666666666666666,0.0,0.16666666666666666,0.030303030303030304,0.15,0.0909090909090909,0.3,0.14646464646464644,0.19999999999999998,0.0909090909090909,0.46666666666666673,0.17676767676767677,0.35000000000000003,-0.7454545454545455,0.9,0.33649236363636364,0.7272727272727273,8.0,8.727272727272727,0.7392074,1.4,18.6,20.0,-0.4027150363636363,-0.6727272727272726
2013020166,2013-10-27,2013-2014,OTT,SJS,2,5,7,-3,0,1.0,0.0,1.0,0,1,-1.0,1.0,-2.0,4.0,8.0,2.8,3.8,-1.0,2.5,1.6,0.8999999999999999,5.3,5.4,30.7,39.0,37.4,23.2,0.09935566612495081,0.09537739546560915,0.9316954633204633,0.9284713615641669,0.6,1.2,0.8,0.3,30.4,15.8,11.3,9.6,11.5,15.2,5.4,7.7,8.9,7.8,1.0,4.0,3.0,4.0,1.8737959096740262,2.6583202716502514,1.3540064007726602,1.07496769977314,-0.1333333333333333,-2.8,-0.8333333333333333,-0.9333333333333335,0.03333333333333333,0.3393939393939394,0.1796296296296296,0.23030303030303031,0.4000000000000001,0.5151515151515151,0.3555555555555556,0.4671717171717171,0.4333333333333334,0.8545454545454545,0.5351851851851853,0.6974747474747475,-0.13333333333333336,2.466666666666667,0.7326161,1.8,23.9,25.7,0.0,0.0,0.0,0.0,0.7326161,1.8
2013020167,2013-10-27,2013-2014,FLA,TBL,3,4,7,-1,0,1.0,0.0,1.0,0,1,-2.0,2.0,-4.0,2.0,7.0,1.8,3.4,-1.5999999999999999,3.4,2.8,0.6000000000000001,5.2,6.2,26.7,27.1,31.0,27.8,0.06722012357712152,0.13326836235659764,0.8887522712516169,0.8949035148506104,0.4,1.0,0.7,0.8,21.1,22.0,13.7,15.0,14.3,12.9,7.1,7.8,6.1,7.6,2.0,2.0,6.0,7.0,1.7511900715418267,2.1705094128132942,2.065591117977289,1.6193277068654826,-0.4666666666666668,-0.3999999999999999,-1.7333333333333332,1.2000000000000002,0.030303030303030304,0.23703703703703702,0.12121212121212122,0.21851851851851853,0.27272727272727276,0.44814814814814813,0.16666666666666666,0.45740740740740743,0.30303030303030304,0.6851851851851851,0.2878787878787879,0.6759259259259259,-1.6363636363636362,2.1444444444444444,0.15,0.2,0.6,0.8,0.8059245555555555,2.111111111111111,22.555555555555557,24.666666666666668,-0.6559245555555555,-1.9111111111111112
2013020162,2013-10-27,2013-2014,CHI,MIN,3,5,8,-2,0,2.0,1.0,1.0,0,0,-1.0,2.0,-3.0,6.0,5.0,2.9,2.2,0.6999999999999997,2.5,1.7,0.8,5.4,3.9,34.6,30.3,25.9,22.0,0.08410897278945298,0.07331114342335958,0.90108575976175,0.9202986581003625,0.8,1.1,0.9,1.0,20.0,16.7,9.4,11.9,13.8,10.0,10.6,7.7,7.5,6.1,4.0,1.0,6.0,5.0,1.449137674618944,1.2292725943057183,1.509230856356236,1.2516655570345725,0.43333333333333357,-0.20000000000000018,0.5,-1.0333333333333332,0.16666666666666666,0.15151515151515152,0.11666666666666665,0.13636363636363638,0.2833333333333334,0.3636363636363636,0.2916666666666667,0.1818181818181818,0.45,0.5151515151515151,0.4083333333333334,0.3181818181818182,0.7,0.4204545454545454,0.1654737,0.8,3.6,4.4,0.4793651428571429,1.1428571428571428,7.428571428571429,8.571428571428571,-0.3138914428571429,-0.34285714285714275
2013020165,2013-10-27,2013-2014,CGY,WSH,5,2,7,3,1,1.0,1.0,0.0,0,0,-2.0,3.0,-5.0,4.0,5.0,2.9,2.8,0.10000000000000009,3.4,2.9,0.5,6.3,5.7,29.1,30.9,30.7,34.0,0.1023310508809601,0.09343261413383362,0.8883738396491946,0.912733175757287,0.8,1.1,0.9,0.4,21.8,26.4,8.9,10.2,17.2,12.1,6.5,7.9,6.7,6.6,2.0,2.0,3.0,6.0,0.9944289260117535,1.6193277068654826,1.2649110640673518,1.5238839267549946,-0.8999999999999999,1.2000000000000002,-0.06666666666666643,-0.8999999999999999,0.14444444444444446,0.06666666666666667,0.1388888888888889,0.13333333333333333,0.28611111111111115,0.22222222222222224,0.3763888888888889,0.1777777777777778,0.4305555555555555,0.2888888888888889,0.5152777777777777,0.3111111111111111,-1.4999999999999998,-2.466666666666667,0.5345184,1.8,15.2,17.0,0.1785715,0.6,5.0,5.6,0.35594689999999995,1.2000000000000002
