,name,price,commence_time,home_team,away_team,bookmakers_key,bookmakers_markets_key
0,Chicago White Sox,110,2025-09-26T22:46:00Z,Washington Nationals,Chicago White Sox,fanduel,h2h
1,Washington Nationals,-130,2025-09-26T22:46:00Z,Washington Nationals,Chicago White Sox,fanduel,h2h
2,Chicago White Sox,102,2025-09-26T22:46:00Z,Washington Nationals,Chicago White Sox,betrivers,h2h
3,Washington Nationals,-125,2025-09-26T22:46:00Z,Washington Nationals,Chicago White Sox,betrivers,h2h
4,Chicago White Sox,110,2025-09-26T22:46:00Z,Washington Nationals,Chicago White Sox,mybookieag,h2h
5,Washington Nationals,-130,2025-09-26T22:46:00Z,Washington Nationals,Chicago White Sox,mybookieag,h2h
6,Chicago White Sox,116,2025-09-26T22:46:00Z,Washington Nationals,Chicago White Sox,betonlineag,h2h
7,Washington Nationals,-128,2025-09-26T22:46:00Z,Washington Nationals,Chicago White Sox,betonlineag,h2h
8,Chicago White Sox,116,2025-09-26T22:46:00Z,Washington Nationals,Chicago White Sox,lowvig,h2h
9,Washington Nationals,-128,2025-09-26T22:46:00Z,Washington Nationals,Chicago White Sox,lowvig,h2h
10,Chicago White Sox,109,2025-09-26T22:46:00Z,Washington Nationals,Chicago White Sox,draftkings,h2h
11,Washington Nationals,-132,2025-09-26T22:46:00Z,Washington Nationals,Chicago White Sox,draftkings,h2h
12,Chicago White Sox,110,2025-09-26T22:46:00Z,Washington Nationals,Chicago White Sox,betmgm,h2h
13,Washington Nationals,-130,2025-09-26T22:46:00Z,Washington Nationals,Chicago White Sox,betmgm,h2h
14,Chicago White Sox,110,2025-09-26T22:46:00Z,Washington Nationals,Chicago White Sox,bovada,h2h
15,Washington Nationals,-132,2025-09-26T22:46:00Z,Washington Nationals,Chicago White Sox,bovada,h2h
16,Chicago White Sox,116,2025-09-26T22:46:00Z,Washington Nationals,Chicago White Sox,betus,h2h
17,Washington Nationals,-127,2025-09-26T22:46:00Z,Washington Nationals,Chicago White Sox,betus,h2h
18,Minnesota Twins,134,2025-09-26T22:46:00Z,Philadelphia Phillies,Minnesota Twins,fanduel,h2h
19,Philadelphia Phillies,-158,2025-09-26T22:46:00Z,Philadelphia Phillies,Minnesota Twins,fanduel,h2h
20,Minnesota Twins,140,2025-09-26T22:46:00Z,Philadelphia Phillies,Minnesota Twins,betrivers,h2h
21,Philadelphia Phillies,-167,2025-09-26T22:46:00Z,Philadelphia Phillies,Minnesota Twins,betrivers,h2h
22,Minnesota Twins,127,2025-09-26T22:46:00Z,Philadelphia Phillies,Minnesota Twins,mybookieag,h2h
23,Philadelphia Phillies,-149,2025-09-26T22:46:00Z,Philadelphia Phillies,Minnesota Twins,mybookieag,h2h
24,Minnesota Twins,130,2025-09-26T22:46:00Z,Philadelphia Phillies,Minnesota Twins,betmgm,h2h
25,Philadelphia Phillies,-155,2025-09-26T22:46:00Z,Philadelphia Phillies,Minnesota Twins,betmgm,h2h
26,Minnesota Twins,132,2025-09-26T22:46:00Z,Philadelphia Phillies,Minnesota Twins,betonlineag,h2h
27,Philadelphia Phillies,-146,2025-09-26T22:46:00Z,Philadelphia Phillies,Minnesota Twins,betonlineag,h2h
