date,home_team,away_team,win,home_runs_scored,away_runs_scored,day,game_id
2020-07-24,BOS,BAL,1,13.0,2.0,0,2020-07-24_BAL_BOS
2020-07-25,BOS,BAL,0,2.0,7.0,1,2020-07-25_BAL_BOS
2020-07-26,BOS,BAL,0,4.0,7.0,1,2020-07-26_BAL_BOS
2020-07-27,BOS,NYM,0,4.0,7.0,0,2020-07-27_BOS_NYM
2020-07-28,BOS,NYM,0,3.0,8.0,0,2020-07-28_BOS_NYM
2020-08-07,BOS,TOR,1,5.0,3.0,0,2020-08-07_BOS_TOR
2020-08-08,BOS,TOR,0,1.0,2.0,0,2020-08-08_BOS_TOR
2020-08-09,BOS,TOR,1,5.0,3.0,1,2020-08-09_BOS_TOR
2020-08-10,BOS,TBR,0,7.0,8.0,0,2020-08-10_BOS_TBR
2020-08-11,BOS,TBR,0,2.0,8.0,0,2020-08-11_BOS_TBR
2020-08-12,BOS,TBR,0,5.0,9.0,0,2020-08-12_BOS_TBR
2020-08-13,BOS,TBR,0,8.0,17.0,1,2020-08-13_BOS_TBR
2020-08-18,BOS,PHI,0,6.0,13.0,0,2020-08-18_BOS_PHI
2020-08-19,BOS,PHI,1,6.0,3.0,1,2020-08-19_BOS_PHI
2020-08-28,BOS,WSN,0,2.0,10.0,0,2020-08-28_BOS_WSN
2020-08-29,BOS,WSN,1,5.0,3.0,0,2020-08-29_BOS_WSN
2020-08-30,BOS,WSN,1,9.0,5.0,1,2020-08-30_BOS_WSN
2020-08-31,BOS,ATL,0,3.0,6.0,0,2020-08-31_ATL_BOS
2020-09-01,BOS,ATL,0,3.0,10.0,0,2020-09-01_ATL_BOS
2020-09-02,BOS,ATL,0,5.0,7.0,0,2020-09-02_ATL_BOS
2020-09-03,BOS,TOR,0,2.0,6.0,0,2020-09-03_BOS_TOR
2020-09-04,BOS,TOR,0,7.0,8.0,1,2020-09-04_BOS_TOR
2020-09-04,BOS,TOR,1,3.0,2.0,0,2020-09-04_BOS_TOR
2020-09-05,BOS,TOR,1,9.0,8.0,0,2020-09-05_BOS_TOR
2020-09-06,BOS,TOR,0,8.0,10.0,1,2020-09-06_BOS_TOR
2020-09-18,BOS,NYY,0,5.0,6.0,0,2020-09-18_BOS_NYY
2020-09-19,BOS,NYY,0,0.0,8.0,0,2020-09-19_BOS_NYY
2020-09-20,BOS,NYY,1,10.0,2.0,1,2020-09-20_BOS_NYY
2020-09-22,BOS,BAL,1,8.0,3.0,0,2020-09-22_BAL_BOS
2020-09-23,BOS,BAL,1,9.0,1.0,0,2020-09-23_BAL_BOS
2020-09-24,BOS,BAL,0,1.0,13.0,0,2020-09-24_BAL_BOS
2020-07-29,BAL,NYY,0,3.0,9.0,0,2020-07-29_BAL_NYY
2020-07-30,BAL,NYY,0,6.0,8.0,0,2020-07-30_BAL_NYY
2020-07-31,BAL,TBR,1,6.0,3.0,0,2020-07-31_BAL_TBR
2020-08-01,BAL,TBR,1,5.0,4.0,0,2020-08-01_BAL_TBR
