Date,Tm,Home_Away,Opp,W/L,R,RA,D/N,Streak
"Thursday, Mar 28",BOS,@,SEA,W,6.0,4.0,N,1
"Friday, Mar 29",BOS,@,SEA,L,0.0,1.0,N,-1
"Saturday, Mar 30",BOS,@,SEA,L-wo,3.0,4.0,N,-2
"Sunday, Mar 31",BOS,@,SEA,W,5.0,1.0,D,1
"Monday, Apr 1",BOS,@,OAK,W,9.0,0.0,N,2
"Tuesday, Apr 2",BOS,@,OAK,W,5.0,4.0,N,3
"Wednesday, Apr 3",BOS,@,OAK,W,1.0,0.0,D,4
"Friday, Apr 5",BOS,@,LAA,W,8.0,6.0,N,5
"Saturday, Apr 6",BOS,@,LAA,L,1.0,2.0,N,-1
"Sunday, Apr 7",BOS,@,LAA,W,12.0,2.0,D,1
"Tuesday, Apr 9",BOS,Home,BAL,L,1.0,7.0,D,-1
"Wednesday, Apr 10",BOS,Home,BAL,L,5.0,7.0,N,-2
"Thursday, Apr 11",BOS,Home,BAL,L,4.0,9.0,N,-3
"Friday, Apr 12",BOS,Home,LAA,L,0.0,7.0,N,-4
"Saturday, Apr 13",BOS,Home,LAA,W,7.0,2.0,D,1
"Sunday, Apr 14",BOS,Home,LAA,W,5.0,4.0,D,2
"Monday, Apr 15",BOS,Home,CLE,L,0.0,6.0,D,-1
"Tuesday, Apr 16",BOS,Home,CLE,L,7.0,10.0,N,-2
"Wednesday, Apr 17",BOS,Home,CLE,W,2.0,0.0,N,1
"Thursday, Apr 18",BOS,Home,CLE,L,4.0,5.0,D,-1
"Friday, Apr 19",BOS,@,PIT,W,8.0,1.0,N,1
"Saturday, Apr 20",BOS,@,PIT,W,4.0,2.0,D,2
"Sunday, Apr 21",BOS,@,PIT,W,6.0,1.0,D,3
"Tuesday, Apr 23",BOS,@,CLE,L,1.0,4.0,N,-1
"Wednesday, Apr 24",BOS,@,CLE,W,8.0,0.0,N,1
"Thursday, Apr 25",BOS,@,CLE,L,4.0,6.0,D,-1
"Friday, Apr 26",BOS,Home,CHC,L,1.0,7.0,N,-2
