date,home_team,away_team,game_id,opening_total,closing_total,actual_total_runs,over_hit,total_diff_vs_line,home_runs_per_game_L10,away_runs_per_game_L10,home_team_ops_L10,away_team_ops_L10,home_hr_per_game_L10,away_hr_per_game_L10,home_team_era_L10,away_team_era_L10,home_team_whip_L10,away_team_whip_L10,home_sp_era,away_sp_era,home_sp_whip,away_sp_whip,home_sp_k_per_9,away_sp_k_per_9,temperature,wind_speed_mph,wind_direction,is_day_game,is_domed_stadium,ballpark_run_factor,line_movement,combined_offense_L10,combined_era_L10,sp_era_average,offensive_advantage
2024-04-01,LAA,CHC,20240401_CHC_LAA,11.0,11.5,12,1,0.5,5.6,5.6,0.8,0.792,1.4,1.3,3.4,3.6,1.08,1.32,3.52,4.64,1.11,1.23,8.2,8.7,84,4,Cross,0,0,1.0,0.5,11.2,3.5,4.08,0.29200000000000004
2024-04-01,OAK,LAA,20240401_LAA_OAK,8.0,7.5,4,0,-3.5,3.7,6.2,0.712,0.772,1.2,1.5,4.77,3.23,1.5,1.18,3.99,3.23,1.45,1.03,11.1,8.7,65,19,Cross,0,0,0.85,-0.5,9.9,4.0,3.6100000000000003,0.18399999999999994
2024-04-01,CLE,PIT,20240401_PIT_CLE,9.5,9.0,12,1,3.0,4.8,5.1,0.711,0.764,1.4,1.5,4.25,4.05,1.42,1.38,3.66,2.72,1.25,1.26,10.4,9.8,89,9,Out,1,0,1.0,-0.5,9.899999999999999,4.15,3.1900000000000004,0.17500000000000004
2024-04-01,ARI,ATL,20240401_ATL_ARI,9.0,8.5,9,1,0.5,4.5,5.0,0.759,0.721,0.9,1.3,5.01,4.97,1.53,1.4,5.58,4.69,1.24,1.08,8.7,7.3,66,18,Calm,0,0,1.0,-0.5,9.5,4.99,5.135,0.17999999999999994
2024-04-01,MIA,SF,20240401_SF_MIA,8.5,8.0,9,1,1.0,5.0,4.4,0.777,0.69,1.5,1.0,3.76,4.28,1.19,1.55,5.9,5.87,1.2,1.4,7.8,7.7,47,12,In,0,1,0.93,-0.5,9.4,4.02,5.885,0.16700000000000004
2024-04-02,KC,BOS,20240402_BOS_KC,11.5,11.0,8,0,-3.0,5.8,5.4,0.746,0.728,1.4,1.1,4.26,4.27,1.39,1.34,5.29,3.03,1.41,1.56,11.2,8.0,56,14,Cross,0,0,1.0,-0.5,11.2,4.265,4.16,0.17399999999999993
2024-04-02,LAA,WSN,20240402_WSN_LAA,11.0,10.0,13,1,3.0,5.5,5.6,0.82,0.774,1.3,1.2,3.73,4.07,1.25,1.32,5.59,3.16,1.22,1.56,11.1,11.1,65,18,Calm,1,0,1.0,-1.0,11.1,3.9000000000000004,4.375,0.2939999999999998
2024-04-02,TB,CLE,20240402_CLE_TB,9.0,8.5,11,1,2.5,4.8,4.7,0.672,0.725,0.8,1.2,5.24,4.43,1.53,1.46,4.8,4.49,1.07,1.29,7.6,7.5,94,8,In,0,1,0.95,-0.5,9.5,4.835,4.645,0.09699999999999998
2024-04-02,ARI,NYY,20240402_NYY_ARI,9.5,9.0,7,0,-2.0,4.3,5.7,0.711,0.785,1.2,1.3,4.37,3.43,1.4,1.32,3.09,4.45,1.75,1.56,9.4,6.6,76,20,In,0,0,1.0,-0.5,10.0,3.9000000000000004,3.77,0.19599999999999995
2024-04-02,OAK,SD,20240402_SD_OAK,8.5,8.0,11,1,3.0,5.3,4.7,0.783,0.724,1.1,1.4,3.86,3.92,1.28,1.3,4.03,4.85,1.26,1.12,11.9,11.0,88,5,In,0,0,0.85,-0.5,10.0,3.8899999999999997,4.4399999999999995,0.20700000000000007
2024-04-03,CHC,MIN,20240403_MIN_CHC,11.0,10.5,11,1,0.5,5.3,5.9,0.745,0.777,1.1,1.4,4.91,3.84,1.4,1.22,2.77,2.59,1.77,1.67,10.2,8.5,54,3,In,0,0,1.0,-0.5,11.2,4.375,2.6799999999999997,0.22199999999999998
2024-04-03,NYY,NYM,20240403_NYM_NYY,11.5,11.0,13,1,2.0,5.7,5.3,0.751,0.752,1.1,1.3,4.09,3.8,1.31,1.35,4.13,4.77,1.04,1.76,11.3,7.6,46,19,Calm,1,0,1.02,-0.5,11.0,3.945,4.449999999999999,0.20300000000000007
2024-04-03,STL,BOS,20240403_BOS_STL,10.0,10.0,10,0,0.0,4.3,5.5,0.73,0.732,1.4,0.9,4.82,4.26,1.49,1.28,2.75,3.62,1.68,1.02,10.9,7.7,51,14,Out,0,0,1.0,0.0,9.8,4.54,3.185,0.16199999999999992
2024-04-03,CIN,TB,20240403_TB_CIN,10.5,9.5,3,0,-6.5,6.4,4.8,0.81,0.734,1.5,1.4,3.76,4.57,1.27,1.37,3.62,5.63,1.31,1.01,11.4,6.5,61,19,Calm,1,0,1.01,-1.0,11.2,4.165,4.625,0.244
2024-04-03,SD,CLE,20240403_CLE_SD,9.5,9.5,13,1,3.5,5.8,4.7,0.755,0.719,1.2,1.4,3.97,4.2,1.25,1.42,4.53,5.52,1.7,1.19,11.4,9.6,63,14,Cross,0,0,0.9,0.0,10.5,4.085,5.025,0.17399999999999993
2024-04-04,LAA,TB,20240404_TB_LAA,10.5,11.5,8,0,-3.5,5.2,5.1,0.735,0.748,1.3,1.4,4.38,3.91,1.37,1.36,4.35,4.03,1.64,1.78,9.3,7.9,47,18,Calm,0,0,1.0,1.0,10.3,4.145,4.1899999999999995,0.18300000000000005
2024-04-04,OAK,PHI,20240404_PHI_OAK,9.5,9.5,11,1,1.5,5.8,5.6,0.766,0.762,1.1,1.4,3.88,3.86,1.34,1.26,2.77,5.91,1.79,1.56,9.2,7.9,86,14,Out,0,0,0.85,0.0,11.399999999999999,3.87,4.34,0.22799999999999998
2024-04-04,TEX,PIT,20240404_PIT_TEX,11.0,11.5,13,1,1.5,5.7,4.9,0.785,0.783,1.3,1.6,3.75,4.5,1.25,1.3,4.37,5.12,1.73,1.47,10.4,10.5,64,5,Out,0,0,1.08,0.5,10.600000000000001,4.125,4.745,0.268
2024-04-04,CWS,SEA,20240404_SEA_CWS,10.0,10.5,4,0,-6.5,4.7,5.1,0.716,0.736,1.1,1.5,4.09,4.01,1.5,1.4,5.32,5.66,1.49,1.78,9.6,9.8,73,2,In,0,0,1.0,0.5,9.8,4.05,5.49,0.1519999999999999
2024-04-04,STL,TEX,20240404_TEX_STL,10.5,9.5,8,0,-1.5,5.2,5.9,0.793,0.794,1.0,1.5,3.3,3.77,1.26,1.17,3.14,3.71,1.72,1.38,10.0,7.0,55,1,Out,0,0,1.0,-1.0,11.100000000000001,3.535,3.425,0.28700000000000014
